model,topic_id,word,score
CTM,0,kepada,0.1335606873035431
CTM,0,laki,0.06328059732913971
CTM,0,dosa,0.05057313293218613
CTM,0,ikut,0.049276452511548996
CTM,0,janji,0.048757780343294144
CTM,0,tetap,0.045905083417892456
CTM,0,jelas,0.03786566108465195
CTM,0,hadap,0.02878890186548233
CTM,0,sedikit,0.028529565781354904
CTM,0,rahmat,0.027232883498072624
CTM,0,demikian,0.026454875245690346
CTM,0,buah,0.02489885874092579
CTM,0,lain,0.02489885874092579
CTM,0,nabi,0.023861514404416084
CTM,0,penuh,0.019712137058377266
CTM,1,rasul,0.09837191551923752
CTM,1,azab,0.09100736677646637
CTM,1,turun,0.07154392451047897
CTM,1,kufur,0.061812203377485275
CTM,1,niscaya,0.0483982115983963
CTM,1,siapa,0.04155970364809036
CTM,1,buruk,0.04103366658091545
CTM,1,sungai,0.02683061547577381
CTM,1,hina,0.020518148317933083
CTM,1,rumah,0.020255129784345627
CTM,1,sisi,0.020255129784345627
CTM,1,hukum,0.019203051924705505
CTM,1,pahala,0.01841399259865284
CTM,1,izin,0.018150974065065384
CTM,1,allah,0.017624935135245323
CTM,2,maha,0.19264577329158783
CTM,2,kaum,0.08201907575130463
CTM,2,tanda,0.061855584383010864
CTM,2,buat,0.044416893273591995
CTM,2,mukmin,0.0416920967400074
CTM,2,padahal,0.03678746521472931
CTM,2,amal,0.03079291619360447
CTM,2,saleh,0.026160763576626778
CTM,2,setan,0.02534332498908043
CTM,2,kam,0.02507084608078003
CTM,2,perkasa,0.02452588640153408
CTM,2,musa,0.023708447813987732
CTM,2,bawa,0.022618528455495834
CTM,2,musuh,0.020438693463802338
CTM,2,jawab,0.01989373378455639
CTM,3,benar,0.36206698417663574
CTM,3,masuk,0.09717540442943573
CTM,3,bagi,0.09141092747449875
CTM,3,ingkar,0.02800164744257927
CTM,3,bunuh,0.025256657972931862
CTM,3,ada,0.02470765821635723
CTM,3,halang,0.021413670852780342
CTM,3,sumpah,0.020041175186634064
CTM,3,ibrahim,0.019217677414417267
CTM,3,suka,0.014276694506406784
CTM,3,sebab,0.012629699893295765
CTM,3,saling,0.012080701999366283
CTM,3,teman,0.012080701999366283
CTM,3,aman,0.011806203052401543
CTM,3,percaya,0.01098270621150732
CTM,4,iman,0.14990833401679993
CTM,4,datang,0.1135103851556778
CTM,4,sama,0.07846050709486008
CTM,4,negeri,0.03747910261154175
CTM,4,nyata,0.03640064597129822
CTM,4,sayang,0.036131031811237335
CTM,4,saudara,0.03532218933105469
CTM,4,itu,0.031817201524972916
CTM,4,kuasa,0.030738744884729385
CTM,4,neraka,0.024807225912809372
CTM,4,untuk,0.022919924929738045
CTM,4,umat,0.020763009786605835
CTM,4,agama,0.020763009786605835
CTM,4,ragu,0.018875708803534508
CTM,4,fir,0.018606094643473625
CTM,5,tuhan,0.1578575074672699
CTM,5,apabila,0.07175478339195251
CTM,5,cipta,0.06168428808450699
CTM,5,balas,0.04204682633280754
CTM,5,sekali,0.04053625091910362
CTM,5,nikmat,0.036004532128572464
CTM,5,tidak,0.034493956714868546
CTM,5,kata,0.027444612234830856
CTM,5,malam,0.025682276114821434
CTM,5,keluar,0.023164652287960052
CTM,5,mudah,0.021905841305851936
CTM,5,pasti,0.021654078736901283
CTM,5,tanya,0.02140231616795063
CTM,5,sudah,0.0191364549100399
CTM,5,baca,0.01661883294582367
CTM,6,dapat,0.13042613863945007
CTM,6,diri,0.0857463851571083
CTM,6,tunjuk,0.06017820164561272
CTM,6,zalim,0.05630423501133919
CTM,6,maha,0.05243026837706566
CTM,6,tempat,0.05165547505021095
CTM,6,takut,0.0446823351085186
CTM,6,hidup,0.04158315807580948
CTM,6,dia,0.036934398114681244
CTM,6,putus,0.02970299683511257
CTM,6,dunia,0.029186466708779335
CTM,6,terang,0.027120351791381836
CTM,6,kiamat,0.026087293401360512
CTM,6,bukti,0.026087293401360512
CTM,6,karunia,0.0245377067476511
CTM,7,tahu,0.17401836812496185
CTM,7,hendak,0.11023885011672974
CTM,7,jalan,0.08294226229190826
CTM,7,hati,0.058007873594760895
CTM,7,tolong,0.04724671691656113
CTM,7,anugerah,0.044884514063596725
CTM,7,milik,0.03307349234819412
CTM,7,ampun,0.02808661386370659
CTM,7,sesat,0.023362204432487488
CTM,7,terima,0.021787401288747787
CTM,7,mohon,0.020212598145008087
CTM,7,temu,0.019162729382514954
CTM,7,bijaksana,0.019162729382514954
CTM,7,ikan,0.017062991857528687
CTM,7,infak,0.01575065590441227
CTM,8,dua,0.07716882228851318
CTM,8,bagi,0.07269160449504852
CTM,8,hamba,0.06215696409344673
CTM,8,dusta,0.060313403606414795
CTM,8,takwa,0.056099552661180496
CTM,8,kitab,0.05083223432302475
CTM,8,kali,0.03845404088497162
CTM,8,minta,0.03318672627210617
CTM,8,ajar,0.03292335942387581
CTM,8,akhirat,0.027919409796595573
CTM,8,sampai,0.026075849309563637
CTM,8,salah,0.025812484323978424
CTM,8,banyak,0.023705556988716125
CTM,8,oleh,0.021598631516098976
CTM,8,mana,0.020018436014652252
CTM,9,ada,0.17165006697177887
CTM,9,langit,0.0722886323928833
CTM,9,ingat,0.07075607031583786
CTM,9,segala,0.06309323012828827
CTM,9,jadi,0.05083269253373146
CTM,9,saksi,0.03780587390065193
CTM,9,waktu,0.03601787984371185
CTM,9,mati,0.031164752319455147
CTM,9,utus,0.029887612909078598
CTM,9,ambil,0.02631162293255329
CTM,9,dekat,0.02605619467794895
CTM,9,gembira,0.024779055267572403
CTM,9,seru,0.024012772366404533
CTM,9,sempurna,0.01762707531452179
CTM,9,wajah,0.01660536415874958
CTM,10,baik,0.1381014585494995
CTM,10,jangan,0.0983884185552597
CTM,10,kata,0.08199077844619751
