sura,ayat,dominant_topic,confidence
2,264,13,0.20639534
2,265,9,0.35563383
2,266,9,0.45480224
2,267,13,0.3908451
2,268,5,0.2847222
2,269,0,0.26623377
2,270,13,0.39423078
2,271,13,0.33116883
2,272,13,0.34615386
2,273,8,0.30341882
2,274,4,0.26288658
2,275,4,0.22252747
2,276,4,0.32978722
2,277,4,0.37195122
2,278,13,0.60714287
2,279,4,0.2847222
2,280,13,0.41129032
2,281,12,0.4473684
2,282,11,0.29341862
2,283,12,0.23355263
2,284,5,0.37295085
2,285,2,0.2852113
2,286,13,0.3671875
3,2,5,0.3690476
3,3,6,0.5865385
3,4,0,0.15671642
3,5,5,0.48437497
3,6,5,0.622807
3,7,10,0.23697917
3,8,10,0.30597016
3,9,2,0.20192307
3,10,9,0.33064517
3,11,0,0.38059703
3,12,6,0.49038464
3,13,13,0.4051095
3,14,11,0.2808642
3,15,9,0.35826772
3,16,0,0.16935484
3,17,12,0.32978722
3,18,5,0.5350877
3,19,6,0.25
3,20,12,0.31889766
3,21,7,0.25
3,22,4,0.39423078
3,23,6,0.25
3,24,13,0.30597016
3,25,12,0.38059703
3,26,12,0.4051095
3,27,3,0.33152175
3,28,13,0.44607845
3,29,5,0.61585367
3,30,8,0.28504673
3,31,5,0.30597016
3,32,2,0.28378376
3,33,6,0.27192983
3,34,13,0.39423078
3,35,5,0.37195122
3,36,11,0.45491806
3,37,12,0.35563383
3,38,12,0.3961039
3,39,13,0.25
3,40,11,0.35964912
3,41,12,0.23831776
3,42,6,0.25
3,43,9,0.32978722
3,44,12,0.25
3,45,6,0.39705884
3,46,3,0.14864865
3,47,13,0.4175258
3,48,6,0.4189189
3,49,3,0.20558375
3,50,6,0.23563218
3,51,8,0.28378376
3,52,13,0.30597016
3,53,13,0.49038464
3,54,5,0.4919355
3,55,13,0.2228261
3,56,13,0.41129032
3,57,4,0.6489362
3,58,0,0.32978722
3,59,13,0.29807693
3,60,1,0.171875
3,61,11,0.3976378
3,62,5,0.38059703
3,63,5,0.32812497
3,64,13,0.3480392
3,65,6,0.41129032
3,66,5,0.35964912
3,67,6,0.38059703
3,68,13,0.6489362
3,69,8,0.32978722
3,70,0,0.25
3,71,5,0.29807693
3,72,8,0.39423078
3,73,10,0.27952754
3,74,12,0.4189189
3,75,10,0.30341882
3,76,1,0.28378376
3,77,4,0.2771739
3,78,4,0.46103898
3,79,13,0.25
3,80,6,0.22340426
3,81,13,0.25
3,82,12,0.38888887
3,83,13,0.43292683
3,84,6,0.4508929
3,85,4,0.25
3,86,10,0.29310346
3,87,6,0.28378376
3,88,3,0.28378376
3,89,5,0.6891892
3,90,4,0.60714287
3,91,4,0.26288658
3,92,13,0.4552239
3,93,6,0.29310346
3,94,2,0.32812497
3,95,6,0.35964912
3,96,9,0.49038464
3,97,12,0.22262774
3,98,8,0.4552239
3,99,8,0.6558442
3,100,13,0.4473684
3,101,0,0.17816092
3,102,13,0.4473684
3,103,10,0.21478873
3,104,11,0.5865385
3,105,11,0.35964912
3,106,8,0.2990196
3,107,9,0.5425532
3,108,12,0.33064517
3,109,5,0.5350877
3,110,13,0.36597937
3,111,13,0.35964912
3,112,7,0.22767857
3,113,8,0.33064517
3,114,11,0.4552239
3,115,5,0.4189189
3,116,9,0.30597016
3,117,3,0.28504673
3,118,13,0.2689394
3,119,4,0.42045456
3,120,13,0.23831776
3,121,5,0.2012987
3,122,13,0.39423078
3,123,13,0.39423078
3,124,6,0.20192307
3,125,2,0.21527778
3,126,5,0.2847222
3,127,4,0.28378376
3,128,5,0.3690476
3,129,5,0.57216495
3,130,13,0.49038464
3,131,9,0.4189189
3,132,2,0.38888887
3,133,5,0.27192983
3,134,13,0.2847222
3,135,12,0.38888893
3,136,9,0.52597404
3,137,13,0.43617022
3,138,0,0.25
3,139,13,0.29807693
3,140,12,0.3109756
3,141,4,0.38888887
3,142,2,0.32978722
3,143,13,0.3690476
3,144,13,0.3317757
3,145,12,0.2689394
3,146,13,0.38586956
3,147,13,0.3505747
3,148,4,0.29807693
3,149,13,0.4473684
3,150,13,0.57407403
3,151,6,0.33152175
3,152,1,0.23106061
3,153,4,0.49456525
3,154,4,0.2456446
3,155,5,0.25
3,156,13,0.32042256
3,157,12,0.43617022
3,158,3,0.2037037
3,159,12,0.38257578
3,160,13,0.49038464
3,161,12,0.36597937
3,162,6,0.4473684
3,163,1,0.28378376
3,164,0,0.24015749
3,165,13,0.25
3,166,12,0.33064517
3,167,13,0.33196723
3,168,11,0.37195122
3,169,3,0.14583333
3,170,4,0.3109756
3,171,4,0.43617022
3,172,13,0.25
3,173,13,0.4919355
3,174,10,0.43617022
3,175,4,0.57258064
3,176,13,0.2847222
3,177,4,0.43617022
3,178,3,0.2113402
3,179,13,0.36861315
3,180,5,0.3976378
3,181,4,0.23563218
3,182,12,0.4189189
3,183,2,0.3785047
3,184,2,0.5909091
3,185,3,0.22767857
3,186,4,0.3109756
3,187,4,0.26068377
3,188,7,0.23563218
3,189,5,0.7788462
3,190,5,0.35964912
3,191,5,0.31443298
3,192,13,0.29807693
3,193,4,0.38586956
3,194,2,0.25
3,195,4,0.29679143
3,196,4,0.27192983
3,197,6,0.7261905
3,198,9,0.44021744
3,199,4,0.31443298
3,200,13,0.41129032
4,1,13,0.35826772
4,2,11,0.58045983
4,3,11,0.45491806
4,4,10,0.37195122
4,5,11,0.2012987
4,6,11,0.4527027
4,7,11,0.45491806
4,8,11,0.52597404
4,9,13,0.3961039
4,10,9,0.49305555
4,11,11,0.43429488
4,12,11,0.4910979
4,13,9,0.58045983
4,14,9,0.29310346
4,15,10,0.3169643
4,16,5,0.46103898
