sura,0,1,2,3,4,5,6,7,8,9,10,11,12,13
40,0.05274424,0.044202685,0.07188193,0.07216732,0.06590132,0.074672475,0.04188654,0.055307478,0.047168743,0.04603995,0.049074695,0.039892845,0.13701464,0.20204517
41,0.05336847,0.027618933,0.053125102,0.07999371,0.081996515,0.07966482,0.06094664,0.046383325,0.048638437,0.052085046,0.040093996,0.048667304,0.16479355,0.16262418
42,0.028766153,0.020286659,0.017899778,0.0758414,0.055608608,0.1358374,0.039203394,0.032055277,0.041101858,0.035748694,0.07436822,0.07780954,0.18694109,0.17853191
43,0.048596345,0.0655741,0.08665484,0.06723527,0.0510374,0.07730868,0.054569326,0.06340251,0.038072377,0.06848786,0.05708286,0.045934454,0.11618441,0.15985957
44,0.047695115,0.053819254,0.08450015,0.06962135,0.04479446,0.0776829,0.04319664,0.0811376,0.049525477,0.13776529,0.04611415,0.028107142,0.11779651,0.11824397
46,0.063726485,0.0621217,0.06112907,0.07218476,0.09610134,0.06691374,0.051524032,0.05194134,0.053498793,0.048769183,0.06639697,0.04223235,0.114481606,0.14897864
47,0.034696445,0.038946204,0.028450511,0.073311344,0.179721,0.037652973,0.083498575,0.02964544,0.04038438,0.058254655,0.05153207,0.060796097,0.08795627,0.19515404
48,0.026474103,0.045417763,0.047970057,0.034965184,0.082873665,0.11838042,0.058317102,0.080924116,0.036305476,0.05258924,0.061303608,0.054498848,0.11198765,0.18799277
49,0.015137522,0.03444864,0.047856048,0.061823037,0.10931554,0.16599257,0.023917321,0.026656684,0.010108592,0.033307295,0.051334858,0.09109571,0.13054337,0.19846284
50,0.0545516,0.05818337,0.06634887,0.086184904,0.06852298,0.06396841,0.041959018,0.029862255,0.057332065,0.10120068,0.03501567,0.045432605,0.14660905,0.14482851
51,0.04968251,0.042093378,0.05982739,0.11909936,0.042785548,0.06469258,0.050348766,0.074946105,0.06181914,0.06479252,0.05424525,0.068157256,0.10380537,0.14370482
52,0.044759706,0.032203157,0.049454875,0.063553825,0.048230227,0.10479842,0.058953363,0.072777495,0.06708606,0.0848513,0.043596633,0.077726565,0.094698556,0.1573098
53,0.048951905,0.055056408,0.046563335,0.086744785,0.06586191,0.074262105,0.05948319,0.04835043,0.042111754,0.04195011,0.06681085,0.06724993,0.130519,0.16608429
54,0.12247937,0.106659845,0.037361678,0.10333868,0.05534179,0.04493953,0.035023585,0.07245648,0.07143595,0.07756073,0.027491027,0.029171513,0.08560371,0.13113612
55,0.03175696,0.030001402,0.20844598,0.073092826,0.037414633,0.044516053,0.032004934,0.017587349,0.030317789,0.16441865,0.04984302,0.029520094,0.17494012,0.07614017
56,0.050169557,0.07171556,0.05289726,0.07893263,0.07581536,0.05023074,0.052855223,0.045497913,0.04862708,0.16434538,0.04380105,0.036945704,0.07885462,0.14931189
57,0.02752644,0.03458849,0.03990976,0.051180154,0.05494197,0.19759618,0.06982851,0.038965553,0.0681705,0.046310935,0.057538986,0.04455065,0.11114678,0.15774511
58,0.038395602,0.0314564,0.08494929,0.037383273,0.11885624,0.10262084,0.021998672,0.04591761,0.05582015,0.051496785,0.03302865,0.09947411,0.09189109,0.18671131
59,0.013934015,0.03880004,0.0315351,0.05980933,0.10129466,0.1634985,0.032405328,0.04831572,0.03722208,0.091094784,0.030095808,0.089825414,0.09266571,0.16950352
60,0.011702241,0.033539355,0.024270134,0.03674456,0.22763664,0.12984851,0.01971532,0.010767471,0.0389033,0.018485613,0.031501744,0.11730496,0.118194446,0.1813857
61,0.020528933,0.035570625,0.054980498,0.047777463,0.1441812,0.08476842,0.07311515,0.055731624,0.009483278,0.07289983,0.058116715,0.05829085,0.083825156,0.20073025
62,0.070528835,0.03808517,0.024936326,0.07225715,0.07425247,0.19314742,0.036155093,0.029138058,0.021143116,0.01685663,0.09617341,0.058249716,0.14480068,0.12427592
63,0.038675845,0.037241217,0.029284745,0.11675315,0.09462231,0.0775641,0.014928327,0.08134595,0.06421148,0.026660882,0.041855607,0.07837728,0.13964571,0.15883338
64,0.032978166,0.014630192,0.058650143,0.011912874,0.07398141,0.25269878,0.032644887,0.04428347,0.04563217,0.06621375,0.042859115,0.045303762,0.14927548,0.1289358
65,0.032703005,0.014107856,0.029254591,0.03687498,0.06691489,0.049587842,0.037766907,0.05793442,0.036240015,0.05996895,0.104945995,0.14246827,0.14767654,0.18355574
66,0.005511936,0.013088308,0.01976098,0.04256094,0.08962508,0.09990367,0.115822785,0.029679326,0.015111255,0.1072652,0.06932419,0.09821626,0.09403527,0.20009482
67,0.062405586,0.052863576,0.041688465,0.061507504,0.073027916,0.17564501,0.03490983,0.043530844,0.05212736,0.058479287,0.059506614,0.011993158,0.12176659,0.15054826
68,0.049989976,0.05299208,0.04801991,0.07446317,0.09408016,0.054177217,0.051108956,0.043318257,0.044090264,0.07011051,0.062035136,0.06759154,0.15550606,0.13251677
69,0.045240194,0.077008516,0.035681833,0.0989535,0.09609405,0.046448033,0.056900617,0.07622606,0.05841748,0.06731522,0.02912699,0.032608952,0.07217531,0.20780322
70,0.040549103,0.03172219,0.03295109,0.06571139,0.10770399,0.04437606,0.049717974,0.07196626,0.041081652,0.07366471,0.04448194,0.09948313,0.15898976,0.13760073
71,0.034655385,0.032141574,0.027181255,0.075772405,0.06471391,0.08550539,0.051564403,0.030284462,0.052659538,0.06857871,0.044442873,0.08674848,0.17500587,0.17074573
72,0.028691903,0.034123752,0.06873495,0.021635216,0.08170451,0.049514066,0.051113483,0.0212213,0.041720327,0.069460966,0.07168333,0.0589844,0.20476358,0.19664821
73,0.068468824,0.028487885,0.040919907,0.07070792,0.05814927,0.054178677,0.046364017,0.07595028,0.08205716,0.06076479,0.046996906,0.051925343,0.120849,0.19418001
74,0.05081577,0.048553016,0.04913031,0.07402104,0.063554615,0.04232849,0.04086475,0.052373525,0.067631654,0.08443966,0.056405924,0.05395996,0.14860359,0.16731764
75,0.09148823,0.041221693,0.035959747,0.083108164,0.069154516,0.038263187,0.082746774,0.05612331,0.12014188,0.05895107,0.039774932,0.06526746,0.11044481,0.107354224
76,0.09542766,0.03572194,0.015263249,0.044875514,0.092516586,0.042627722,0.039422203,0.042476725,0.052750193,0.16399656,0.04740772,0.07600137,0.13924104,0.11227155
77,0.032046534,0.026044136,0.09129056,0.12678076,0.039980266,0.04287915,0.08039105,0.054400176,0.09836725,0.12314445,0.04920244,0.037059903,0.07638629,0.12202702
78,0.090734795,0.043526642,0.025490945,0.042957272,0.0629027,0.058293045,0.08351185,0.04947432,0.079384886,0.1681898,0.049691282,0.019809127,0.08312251,0.14291081
79,0.04715477,0.052859183,0.029985687,0.06536006,0.05751944,0.05253314,0.063754365,0.085091926,0.0770007,0.068052284,0.058962584,0.04435612,0.12896359,0.16840613
80,0.047411986,0.05144899,0.027024288,0.076241955,0.08396061,0.035032295,0.062971994,0.060681947,0.06821013,0.11629437,0.04639593,0.06678363,0.14128013,0.116261736
81,0.06345028,0.06591116,0.063139096,0.103587806,0.058883782,0.032346345,0.032346345,0.18570879,0.04515347,0.068709984,0.019846346,0.070124395,0.1011845,0.089607686
82,0.075650916,0.07113758,0.034326807,0.08318237,0.07942619,0.113709286,0.02179548,0.054690216,0.075144514,0.06742723,0.030019164,0.059737556,0.14822054,0.08553213
83,0.06607076,0.07540657,0.05975275,0.0707406,0.06713475,0.03495116,0.09455907,0.05273982,0.06914841,0.07799211,0.04261937,0.058375992,0.090530135,0.13997848
84,0.03201617,0.04858814,0.07603272,0.066213585,0.09948776,0.04148587,0.08037429,0.07802879,0.05697691,0.10328003,0.03556731,0.04148587,0.10413309,0.13632946
85,0.029611846,0.034799106,0.042438526,0.031616013,0.042438522,0.19236037,0.03492289,0.12891556,0.042479597,0.07359688,0.028233979,0.09562371,0.106874034,0.11608893
86,0.020697532,0.06427052,0.020697532,0.06922199,0.07315404,0.17020296,0.03159078,0.05244887,0.088532746,0.06581785,0.029888706,0.034066517,0.162155,0.117254935
87,0.086036116,0.044834632,0.03287291,0.08982954,0.0426195,0.029134873,0.09473214,0.020911189,0.020911189,0.11375298,0.07185926,0.082298085,0.13626915,0.13393839
88,0.07967391,0.038386032,0.021719363,0.045625087,0.059073295,0.06343059,0.040891476,0.062691584,0.043941583,0.2608478,0.03421936,0.0697384,0.06820629,0.11155521
89,0.038250595,0.04151387,0.01796662,0.07565805,0.06517926,0.021634998,0.05926255,0.09695013,0.0644046,0.08261657,0.061161593,0.10644784,0.1318797,0.1370736
90,0.08495318,0.053531665,0.04127078,0.07612917,0.09511431,0.034714837,0.043375157,0.028460383,0.094628826,0.042527337,0.051187657,0.12246083,0.07194893,0.15969692
91,0.070997715,0.02436285,0.047125198,0.11137142,0.10454106,0.122402065,0.039514363,0.039514367,0.09107573,0.07522069,0.061399885,0.05912221,0.09703607,0.056316372
92,0.061117083,0.06379765,0.047842413,0.050970975,0.060788013,0.050970975,0.036090024,0.027271682,0.05710874,0.0815596,0.09530304,0.09431112,0.125277,0.14759167
93,0.018311853,0.018311853,0.059634164,0.07991552,0.04504982,0.032516398,0.038973007,0.060925484,0.046720937,0.018311853,0.110065535,0.16775106,0.17787741,0.12563509
94,0.02267505,0.02267505,0.02267505,0.02267505,0.042206302,0.02267505,0.10790232,0.02267505,0.042206302,0.11625794,0.051084142,0.1073801,0.22153868,0.17537391
95,0.03499544,0.07302454,0.043262634,0.049876392,0.10143363,0.020114485,0.08955892,0.10008081,0.08002734,0.1304086,0.043262634,0.03499544,0.0879055,0.11105364
96,0.07549992,0.07692161,0.030247908,0.04626016,0.08218256,0.030247908,0.05199345,0.020501321,0.039994493,0.026766984,0.03929831,0.05199345,0.28464904,0.14344287
97,0.021299774,0.021299774,0.021299774,0.28709498,0.021299774,0.021299774,0.14395308,0.021299774,0.11665044,0.021299774,0.058336806,0.021299774,0.1652297,0.058336806
98,0.027499475,0.010607583,0.124179706,0.0348169,0.1188374,0.010607583,0.18813962,0.07257019,0.030138833,0.1597249,0.010607583,0.055730473,0.06657151,0.08996826
99,0.036662295,0.017131047,0.040279195,0.036662295,0.017131047,0.09721112,0.017131047,0.04554014,0.11901484,0.040279195,0.10572208,0.03402294,0.18715496,0.20605779
100,0.053676963,0.109299466,0.061424896,0.12617294,0.068865374,0.06788151,0.08276247,0.018811263,0.06668584,0.10753271,0.018811263,0.049850825,0.08542746,0.082797
101,0.024639092,0.024639092,0.024639092,0.26676622,0.049891617,0.045215227,0.07514414,0.024639092,0.045215227,0.106943615,0.024639092,0.07046775,0.14201657,0.07514414
102,0.06545309,0.17396003,0.05821929,0.055921502,0.019156795,0.019156795,0.019156795,0.038688045,0.038688045,0.055921502,0.06545309,0.019156795,0.15442878,0.21663943
103,0.16195436,0.16691466,0.023065476,0.023065476,0.23387897,0.023065476,0.023065476,0.023065476,0.023065476,0.023065476,0.023065476,0.023065476,0.11483135,0.11483135
104,0.073736064,0.04380715,0.065844655,0.11763915,0.08116328,0.05591076,0.1064158,0.023231016,0.023231016,0.13120413,0.023231016,0.06905968,0.04380715,0.14171913
105,0.14348723,0.015359109,0.015359109,0.116460204,0.069413155,0.069413155,0.042386137,0.04660911,0.015359109,0.20285912,0.015359109,0.015359109,0.06941316,0.16316316
106,0.017718205,0.017718205,0.22195652,0.051501993,0.13676582,0.017718205,0.017718205,0.017718205,0.017718205,0.17588773,0.047480114,0.017718205,0.07453639,0.16784398
107,0.06700761,0.024990806,0.057458337,0.024990806,0.099475145,0.024990806,0.08992587,0.024990806,0.024990806,0.024990806,0.024990806,0.36027643,0.057458337,0.09346264
108,0.02355252,0.02355252,0.02355252,0.0993101,0.16103849,0.0993101,0.02355252,0.02355252,0.02355252,0.02355252,0.21963094,0.08528092,0.1470093,0.02355252
109,0.02425398,0.02425398,0.3718475,0.02425398,0.062132765,0.02425398,0.085982375,0.02425398,0.02425398,0.02425398,0.10001156,0.02425398,0.12386116,0.062132765
110,0.10431352,0.014223444,0.014223444,0.014223444,0.014223444,0.1915284,0.05926849,0.13768022,0.014223444,0.05926849,0.014223444,0.014223444,0.22737986,0.120996885
111,0.06889037,0.058916964,0.016363772,0.08019356,0.11171444,0.016363772,0.016363772,0.12747487,0.016363772,0.22282556,0.016363772,0.1159008,0.08465081,0.04761377
112,0.02501733,0.02501733,0.02501733,0.02501733,0.02501733,0.22072439,0.081835516,0.02501733,0.02501733,0.02501733,0.02501733,0.22889432,0.14484304,0.09854674
113,0.019959215,0.019959215,0.019959215,0.08824625,0.019959215,0.019959215,0.094033286,0.046986245,0.21321781,0.019959215,0.019959215,0.07401326,0.27837485,0.06541376
114,0.02540107,0.02540107,0.084224604,0.116310164,0.02540107,0.02540107,0.02540107,0.02540107,0.02540107,0.02540107,0.02540107,0.02540107,0.42914438,0.11631016
