sura,ayat,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,1,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.38888887,0.018518519,0.38888887,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519
1,2,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.7592592,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519,0.018518519
1,3,0.022727273,0.022727273,0.022727273,0.022727273,0.25,0.25,0.022727273,0.022727273,0.25,0.022727273,0.022727273,0.022727273,0.022727273,0.022727273
1,4,0.013513514,0.013513514,0.554054,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.013513514,0.14864865,0.14864865
1,5,0.022727273,0.25,0.022727273,0.022727273,0.022727273,0.022727273,0.022727273,0.022727273,0.4772727,0.022727273,0.022727273,0.022727273,0.022727273,0.022727273
1,6,0.015625,0.015625,0.015625,0.015625,0.171875,0.015625,0.015625,0.015625,0.171875,0.015625,0.32812497,0.015625,0.171875,0.015625
2,2,0.015625,0.015625,0.171875,0.015625,0.015625,0.015625,0.171875,0.015625,0.015625,0.171875,0.171875,0.015625,0.015625,0.171875
2,3,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.117021285,0.0106382985,0.0106382985,0.0106382985,0.0106382985,0.22340426,0.22340426,0.0106382985,0.32978722
2,4,0.011904763,0.011904763,0.011904763,0.011904763,0.011904763,0.011904763,0.25,0.011904763,0.011904763,0.011904763,0.13095239,0.13095239,0.011904763,0.3690476
2,5,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.015625,0.171875,0.171875,0.48437497,0.015625
2,6,0.20192307,0.009615385,0.009615385,0.009615385,0.10576924,0.009615385,0.009615385,0.009615385,0.009615385,0.009615385,0.20192307,0.009615385,0.009615385,0.39423078
2,7,0.20192307,0.009615385,0.009615385,0.009615385,0.20192307,0.009615385,0.009615385,0.10576924,0.009615385,0.009615385,0.10576924,0.009615385,0.009615385,0.29807693
