model,topic_id,word,score
BERTopic,0,bumi,0.07348514033887082
BERTopic,0,langit,0.06394744005929578
BERTopic,0,langit bumi,0.05573844885706217
BERTopic,0,ada,0.029384420668490806
BERTopic,0,cipta,0.027337826544969527
BERTopic,0,maha,0.0241016220511253
BERTopic,0,milik,0.023698961061130935
BERTopic,0,ada langit,0.023005069901546465
BERTopic,0,segala,0.021287619187813075
BERTopic,0,cipta langit,0.02108645958204292
BERTopic,1,nabi,0.02350844342517802
BERTopic,1,jihad,0.021686791681634683
BERTopic,1,arab,0.018587926692823154
BERTopic,1,muslim,0.016315641874075366
BERTopic,1,iman,0.014587860326912873
BERTopic,1,benar,0.013619561804302847
BERTopic,1,islam,0.0132220974520952
BERTopic,1,ibrahim,0.012381976749801047
BERTopic,1,bagi,0.011881743983283982
BERTopic,1,jalan,0.011632363965617988
BERTopic,2,iman,0.07415410487001345
BERTopic,2,wahai iman,0.01943623247761362
BERTopic,2,agama,0.014851284987041875
BERTopic,2,wahai,0.014533111649714856
BERTopic,2,benar,0.014139864332942474
BERTopic,2,iman kepada,0.013878126473513941
BERTopic,2,kepada,0.012581999950805136
BERTopic,2,kufur,0.012364078884394341
BERTopic,2,tahu,0.011788592931890468
BERTopic,2,hati,0.01138444682964252
BERTopic,3,hidup,0.06450602866674121
BERTopic,3,mati,0.0629168610869754
BERTopic,3,akhirat,0.044929075121311196
BERTopic,3,dunia,0.03632970054866803
BERTopic,3,hidup dunia,0.02395928526011486
BERTopic,3,hidup mati,0.02372376190509854
BERTopic,3,mati hidup,0.020300451412446647
BERTopic,3,dunia akhirat,0.018481186182118314
BERTopic,3,nyawa,0.015437655870185519
BERTopic,3,siksa,0.0149618047636933
BERTopic,4,jahat,0.01947224830512408
BERTopic,4,hina,0.018566687963396708
BERTopic,4,benar,0.01855772965883381
BERTopic,4,laku,0.018003352362099857
BERTopic,4,buat,0.016917788997729142
BERTopic,4,buruk,0.01598075084648089
BERTopic,4,jahanam,0.015940930865103755
BERTopic,4,manusia,0.015867948747973044
BERTopic,4,benar benar,0.013870417609840053
BERTopic,4,durhaka,0.013346308506693232
BERTopic,5,tuhan,0.10273461479455108
BERTopic,5,maha,0.032627837088169645
BERTopic,5,tuhan tuhan,0.02624915195721267
BERTopic,5,nama tuhan,0.025657961327318284
BERTopic,5,tuhan maha,0.024699310590196227
BERTopic,5,nama,0.019466514986369202
