model,topic_id,word,score
CTM,0,ada,0.09927137941122055
CTM,0,bumi,0.05150328204035759
CTM,0,azab,0.04455051198601723
CTM,0,langit,0.036438949406147
CTM,0,cipta,0.03219003230333328
CTM,0,segala,0.02819862775504589
CTM,0,hidup,0.02433597855269909
CTM,0,tolong,0.02317718230187893
CTM,0,mati,0.019057024270296097
CTM,0,milik,0.016224415972828865
CTM,0,lindung,0.016095660626888275
CTM,0,itu,0.015194375067949295
CTM,0,keluar,0.015194375067949295
CTM,0,kuasa,0.015194375067949295
CTM,0,neraka,0.01506562065333128
CTM,1,jalan,0.06825727224349976
CTM,1,nikmat,0.030889756977558136
CTM,1,harta,0.02743380330502987
CTM,1,anugerah,0.024625839665532112
CTM,1,air,0.024409841746091843
CTM,1,rezeki,0.022249870002269745
CTM,1,gunung,0.021169884130358696
CTM,1,mudah,0.018793916329741478
CTM,1,tangan,0.01857791841030121
CTM,1,halang,0.01728193461894989
CTM,1,mana,0.01706593856215477
CTM,1,tiba,0.015121963806450367
CTM,1,syukur,0.015121963806450367
CTM,1,mata,0.014041977934539318
CTM,1,infak,0.012961991131305695
CTM,2,maha,0.274368554353714
CTM,2,tahu,0.06395060569047928
CTM,2,hati,0.05864371731877327
CTM,2,dengar,0.04298841208219528
CTM,2,sayang,0.03555877506732941
CTM,2,dia,0.02574104070663452
CTM,2,kam,0.02467966452240944
CTM,2,perkasa,0.023883631452918053
CTM,2,salat,0.02335294336080551
CTM,2,bijaksana,0.02229156717658043
CTM,2,tobat,0.019107436761260033
CTM,2,suci,0.018576746806502342
CTM,2,nama,0.014861928299069405
CTM,2,asih,0.014331239275634289
CTM,2,laksana,0.014065895229578018
CTM,3,benar,0.2231944501399994
CTM,3,rasul,0.06328758597373962
CTM,3,ayat,0.05567297339439392
CTM,3,datang,0.04991970956325531
CTM,3,kitab,0.03265991806983948
CTM,3,dusta,0.031136997044086456
CTM,3,bawa,0.02284552901983261
CTM,3,utus,0.022676315158605576
CTM,3,nyata,0.02132260799407959
CTM,3,bukti,0.01709226705133915
CTM,3,binasa,0.016923053190112114
CTM,3,buah,0.01624619960784912
CTM,3,negeri,0.014892490580677986
CTM,3,baca,0.013200354762375355
CTM,3,umat,0.01303114090114832
CTM,4,iman,0.0795016661286354
CTM,4,beri,0.07492611557245255
CTM,4,siapa,0.06477410346269608
CTM,4,hendak,0.06005556508898735
CTM,4,dapat,0.05648091435432434
CTM,4,ingat,0.03960856422781944
CTM,4,tunjuk,0.037320785224437714
CTM,4,tanda,0.032459259033203125
CTM,4,niscaya,0.030600441619753838
CTM,4,sesat,0.024738013744354248
CTM,4,dalam,0.024738013744354248
CTM,4,surga,0.01959051564335823
CTM,4,datang,0.019018571823835373
CTM,4,ajar,0.017874684184789658
CTM,4,amal,0.017159754410386086
CTM,5,anak,0.04998737946152687
CTM,5,dua,0.04964849352836609
CTM,5,laki,0.04202355444431305
CTM,5,perempuan,0.035584721714258194
CTM,5,dosa,0.03304307535290718
CTM,5,beri,0.028637558221817017
CTM,5,ampun,0.022537611424922943
CTM,5,saudara,0.02219872549176216
CTM,5,makan,0.02169039659202099
CTM,5,istri,0.019826523959636688
CTM,5,dapat,0.01864042319357395
CTM,5,takwa,0.01830153726041317
CTM,5,salah,0.01660710759460926
CTM,5,batas,0.01474323496222496
CTM,5,untuk,0.014404349029064178
CTM,6,tuhan,0.04931133612990379
CTM,6,hari,0.043870776891708374
CTM,6,tahu,0.04015737771987915
CTM,6,wahai,0.031176136806607246
CTM,6,masuk,0.030744345858693123
CTM,6,kaum,0.02962169051170349
CTM,6,lihat,0.027549097314476967
CTM,6,sama,0.024008413776755333
CTM,6,hanya,0.018740570172667503
CTM,6,paling,0.016754332929849625
CTM,6,ikut,0.016408901661634445
CTM,6,sembah,0.015718035399913788
CTM,6,kafir,0.015027171932160854
CTM,6,padahal,0.01459538098424673
CTM,6,mukmin,0.0134727256372571
CTM,7,kepada,0.06281275302171707
CTM,7,bagi,0.04466065391898155
CTM,7,baik,0.038826048374176025
CTM,7,buat,0.035440538078546524
CTM,7,jadi,0.03219909220933914
CTM,7,kata,0.03090251237154007
CTM,7,diri,0.027949193492531776
CTM,7,jangan,0.027661064639687538
CTM,7,orang,0.024851812049746513
CTM,7,manusia,0.02355523407459259
CTM,7,apabila,0.02204255759716034
CTM,7,turun,0.02182646095752716
CTM,7,zalim,0.01844095066189766
CTM,7,kerja,0.017792660742998123
CTM,7,atas,0.017648596316576004
