sura,0,1,2,3,4,5,6,7
60,0.047012214,0.08156543,0.0056878976,0.17072405,0.036003318,0.08171718,0.30676183,0.27052808
61,0.08097778,0.03959628,0.055624884,0.16482851,0.10355322,0.05585134,0.15275787,0.34681013
62,0.07629618,0.08253538,0.05535244,0.21084203,0.09216308,0.023097461,0.28888702,0.17082644
63,0.05794903,0.0942152,0.04863113,0.14843884,0.06475732,0.058028005,0.23776323,0.2902172
64,0.08540783,0.06504922,0.09924019,0.12564658,0.03292355,0.08197808,0.26479533,0.24495919
65,0.057576027,0.0848046,0.039452624,0.27876988,0.0534272,0.16399623,0.11348125,0.20849217
66,0.027890973,0.10667399,0.046291668,0.16171883,0.08019361,0.12657796,0.20269765,0.24795532
67,0.11146098,0.06758974,0.13267443,0.12533234,0.07259798,0.034391828,0.2253804,0.23057225
68,0.07376719,0.080262914,0.03453299,0.1563314,0.1032706,0.0914537,0.21996178,0.2404194
69,0.101715885,0.13476366,0.09821001,0.08103059,0.11132883,0.07209832,0.18280068,0.218052
70,0.16054302,0.10467114,0.10731428,0.19396776,0.062284335,0.10487807,0.08998312,0.17635824
71,0.08949234,0.044941463,0.10159045,0.10694865,0.094678655,0.12002816,0.117989115,0.32433113
72,0.066939004,0.07580006,0.03242081,0.2133005,0.043252613,0.08043671,0.15203652,0.33581376
73,0.09183557,0.08423235,0.12003386,0.17726578,0.06459534,0.09258399,0.09097243,0.27848065
74,0.11139915,0.09379626,0.05213549,0.14251557,0.10336928,0.10974886,0.11824851,0.26878688
75,0.12001288,0.2186507,0.053667385,0.1238417,0.088072136,0.07084037,0.11078596,0.21412882
76,0.07503451,0.099549286,0.042382743,0.22170702,0.03330042,0.070949085,0.17928495,0.27779198
77,0.05743325,0.21836293,0.09024374,0.10273822,0.17494641,0.039106954,0.14525743,0.17191106
78,0.091458656,0.1140568,0.15355816,0.114562824,0.053569574,0.10592353,0.12151159,0.24535882
79,0.049165066,0.13802801,0.10682558,0.12344813,0.08292194,0.060267266,0.1927635,0.24658048
80,0.07129927,0.18040706,0.06915466,0.11995189,0.07659514,0.1030284,0.1642519,0.21531168
81,0.065183125,0.07487212,0.14421895,0.1341208,0.12715308,0.067975566,0.16246727,0.22400905
82,0.052010965,0.12801695,0.15611477,0.14681213,0.06918046,0.039637607,0.1960638,0.21216334
83,0.13293275,0.14685641,0.056344688,0.13384321,0.09712499,0.073678456,0.20967145,0.14954798
84,0.11085767,0.078116275,0.1430145,0.1036055,0.11582804,0.04998605,0.16506483,0.23352714
85,0.109865576,0.07799566,0.11530062,0.13082716,0.12639292,0.06234134,0.1619528,0.21532393
86,0.09307752,0.11658647,0.17995483,0.14504567,0.11342822,0.04828374,0.14421004,0.15941349
87,0.051912904,0.12966229,0.10054856,0.17310403,0.10714399,0.0240415,0.14575003,0.26783666
88,0.13088626,0.104691446,0.116338216,0.10845644,0.12287052,0.047924537,0.1416976,0.22713497
89,0.11099165,0.046660636,0.04316939,0.21320148,0.116259255,0.12543532,0.09003706,0.2542452
90,0.07176784,0.06474181,0.04990428,0.12054241,0.10330063,0.1307161,0.13050376,0.32852316
91,0.040347125,0.09755404,0.16178939,0.13900678,0.13849902,0.1418314,0.18559891,0.09537335
92,0.04901097,0.09211441,0.032590605,0.18664876,0.077425085,0.14009716,0.18419087,0.23792212
93,0.07758089,0.039702103,0.02076271,0.15913938,0.07715369,0.16910748,0.13160016,0.3249536
94,0.08080276,0.0263563,0.047908023,0.2687727,0.09214578,0.059251036,0.2997229,0.1250405
95,0.06787854,0.119961865,0.09992981,0.19007404,0.16715014,0.04927734,0.113379896,0.19234835
96,0.16594364,0.023666134,0.056560867,0.108163156,0.09117991,0.0559584,0.18819559,0.3103323
97,0.024891775,0.024891775,0.20616885,0.066558436,0.10822511,0.3154762,0.16450217,0.08928572
98,0.110084385,0.112471275,0.16513525,0.11937464,0.084242746,0.07092274,0.108997226,0.22877172
