model,topic_id,word,score
BERTopic,0,bumi,0.07008517281280738
BERTopic,0,langit,0.06140144645594028
BERTopic,0,langit bumi,0.05414180556905056
BERTopic,0,ada,0.028349662289240508
BERTopic,0,cipta,0.02648351856756862
BERTopic,0,milik,0.022965071118348092
BERTopic,0,maha,0.022859282511432318
BERTopic,0,cipta langit,0.021662905483414478
BERTopic,0,segala,0.02159453025160869
BERTopic,0,ada langit,0.02150013266582926
BERTopic,1,benar,0.02075154083065813
BERTopic,1,maha,0.018575942712110535
BERTopic,1,jahat,0.018105020024431068
BERTopic,1,maha sayang,0.017536774994690175
BERTopic,1,sayang,0.0167024755655411
BERTopic,1,laku,0.016415562055316774
BERTopic,1,manusia,0.015762848569672097
BERTopic,1,benar benar,0.014899784168900978
BERTopic,1,kam maha,0.014814207167537079
BERTopic,1,maha kam,0.014073729009639598
BERTopic,2,hidup,0.05220506746899989
BERTopic,2,mati,0.051131403479308016
BERTopic,2,akhirat,0.037135623914326156
BERTopic,2,dunia,0.03021316294356054
BERTopic,2,hidup dunia,0.018920401835786957
BERTopic,2,hidup mati,0.018858842471548995
BERTopic,2,mati hidup,0.01740130086630805
BERTopic,2,dunia akhirat,0.016778694158710163
BERTopic,2,rusa,0.01609044484841245
BERTopic,2,siksa,0.016084843950022423
BERTopic,3,iman,0.07345797692302831
BERTopic,3,wahai iman,0.020305271110415007
BERTopic,3,wahai,0.015083682356202223
BERTopic,3,agama,0.014609606277368894
BERTopic,3,iman jangan,0.014321561716848072
BERTopic,3,kufur,0.014071707564694128
BERTopic,3,kepada,0.012576531247289432
BERTopic,3,iman kepada,0.012132137153761836
BERTopic,3,hati,0.011840429188766662
BERTopic,3,benar,0.011746279271681627
BERTopic,4,jihad,0.02739084396718427
BERTopic,4,nabi,0.02588449281915434
BERTopic,4,muslim,0.02165043330439466
BERTopic,4,arab,0.01940363607814021
BERTopic,4,islam,0.015609285516673996
BERTopic,4,iman,0.015596874612957489
BERTopic,4,agama,0.01422035309354231
BERTopic,4,ibrahim,0.014034191414463175
BERTopic,4,masjidilharam,0.013379387585720569
BERTopic,4,masjid,0.013049739566796574
BERTopic,5,ayat,0.13517483903599883
BERTopic,5,ayat ayat,0.08878676561920182
BERTopic,5,kitab,0.05118460624997206
BERTopic,5,baca,0.030223821356146412
BERTopic,5,dusta ayat,0.02697514999475668
BERTopic,5,turun,0.02069146926123586
BERTopic,5,jelas,0.01925393433082696
BERTopic,5,dusta,0.017558609395581463
BERTopic,5,baca ayat,0.017208949489013314
BERTopic,5,hikmah,0.01673096648381861
BERTopic,6,perempuan,0.06082857600543884
BERTopic,6,istri,0.06022749547068745
BERTopic,6,laki,0.037459229778090186
BERTopic,6,istri istri,0.02932681139038968
BERTopic,6,anak,0.02709932014947029
BERTopic,6,saudara,0.026408088739092027
BERTopic,6,laki laki,0.024425950691289028
BERTopic,6,halal,0.02308771047290609
BERTopic,6,perempuan perempuan,0.021529632677028746
BERTopic,6,bagi,0.019324835332094437
BERTopic,7,tuhan,0.09968339275319768
BERTopic,7,maha,0.031161451819049807
BERTopic,7,tuhan tuhan,0.027369678492488954
BERTopic,7,nama tuhan,0.02677945825405275
BERTopic,7,tuhan maha,0.025704554758194956
BERTopic,7,nama,0.020224317277925077
BERTopic,7,agung,0.019650352422935675
BERTopic,7,benar,0.018932327465111816
BERTopic,7,tuhan benar,0.01739772619477392
BERTopic,7,tuhan sudah,0.01533976048892057
BERTopic,8,anugerah,0.05283145867267734
BERTopic,8,karunia,0.03735876873584205
BERTopic,8,rahmat,0.028321325632123917
BERTopic,8,syukur,0.02717796657591435
BERTopic,8,nikmat,0.02190737981520479
BERTopic,8,beri,0.02049223752053931
BERTopic,8,harta,0.019924729790602388
BERTopic,8,kikir,0.01796881228922408
BERTopic,8,baik,0.016848640532688763
BERTopic,8,kaya,0.016311829201085513
BERTopic,9,azab,0.06535871400532883
BERTopic,9,timpa,0.024207007626241825
BERTopic,9,timpa azab,0.023727796278528696
BERTopic,9,ri,0.022042263764964418
BERTopic,9,takwa,0.021827250742496324
BERTopic,9,pedih,0.019267034172322867
BERTopic,9,main,0.019263720526120433
BERTopic,9,urus,0.01884450406321189
BERTopic,9,laknat,0.017903752219872754
BERTopic,9,wahai,0.017662313451982336
BERTopic,10,kafir,0.1189745779107198
BERTopic,10,kaum kafir,0.018019577267358245
BERTopic,10,azab,0.014170335226872915
BERTopic,10,iman,0.013540895039322019
BERTopic,10,kafir azab,0.01293435300788602
BERTopic,10,mukmin,0.011993562407175362
BERTopic,10,dapat,0.011946706465227983
BERTopic,10,ada,0.011439753665977862
BERTopic,10,sedia,0.010681419216494266
BERTopic,10,kafir hanya,0.010663401519446688
BERTopic,11,ingat,0.11473719212757202
BERTopic,11,beri ingat,0.0730636677355762
BERTopic,11,nenek,0.05959299243817545
BERTopic,11,moyang,0.05959299243817545
BERTopic,11,nenek moyang,0.05959299243817545
BERTopic,11,orang beri,0.042855478096786685
BERTopic,11,ingat ingat,0.03697352677006953
BERTopic,11,beri,0.03556715484615344
BERTopic,11,dahulu,0.02950234512344224
BERTopic,11,ingat jelas,0.027707577397034444
BERTopic,12,rasul,0.11580945515640279
BERTopic,12,rasul rasul,0.0397422445095119
BERTopic,12,orang rasul,0.032490773947461214
BERTopic,12,kepada,0.02265062778838169
BERTopic,12,taat,0.021801008219774324
BERTopic,12,datang,0.020812636312645256
BERTopic,12,benar,0.019527991850590388
BERTopic,12,orang,0.019222492361472374
BERTopic,12,percaya kepada,0.016044801593300084
BERTopic,12,utus,0.01562628512961706
BERTopic,13,api,0.08811503935189251
BERTopic,13,air,0.07619933880780771
BERTopic,13,minum,0.06978807844833593
BERTopic,13,panas,0.06334880043423927
BERTopic,13,gelas,0.05523392162385897
BERTopic,13,air panas,0.030898899328584507
BERTopic,13,nyala,0.02771737019556883
BERTopic,13,beri minum,0.02722470707667828
BERTopic,13,tanah,0.026838097245356678
BERTopic,13,bakar,0.025339520173695704
BERTopic,14,dosa,0.1565785942547609
BERTopic,14,dosa dosa,0.06340157025568478
BERTopic,14,pikul,0.026928466983267386
BERTopic,14,ampun,0.024715153622808354
BERTopic,14,pikul dosa,0.020946308931387797
BERTopic,14,dosa besar,0.020946308931387797
BERTopic,14,buat dosa,0.01878749580130114
BERTopic,14,buat,0.017237985585842556
BERTopic,14,salah,0.0166127698590012
BERTopic,14,ada,0.015036410628878664
BERTopic,15,hari,0.16176600800323374
BERTopic,15,celaka hari,0.06536002274967143
BERTopic,15,hari dusta,0.06047125443926478
BERTopic,15,dusta,0.050766012736392585
BERTopic,15,celaka,0.049881822997478724
BERTopic,15,dusta celaka,0.045090902109360564
BERTopic,15,hari putus,0.03967300551897203
BERTopic,15,hari manusia,0.03023562721963239
BERTopic,15,main,0.02902386305683517
BERTopic,15,balas hari,0.02824490860279603
BERTopic,16,malaikat,0.14005721643790076
BERTopic,16,malaikat malaikat,0.027686591677223295
BERTopic,16,sujud,0.02299838751576967
BERTopic,16,turun malaikat,0.021328604120650685
BERTopic,16,turun,0.0172321902441717
BERTopic,16,malaikat sujud,0.016805537363701835
BERTopic,16,nama,0.01402168619926979
BERTopic,16,tuhan,0.013806116389515944
BERTopic,16,sujud adam,0.011964580465970485
BERTopic,16,sujud iblis,0.011964580465970485
BERTopic,17,malam,0.129318320794921
BERTopic,17,siang,0.07283012939857383
BERTopic,17,tanda,0.04155463167034428
BERTopic,17,malam siang,0.03490474292029179
BERTopic,17,waktu,0.03481797601968294
BERTopic,17,petang,0.03138135348112399
BERTopic,17,bulan,0.030103824792491726
BERTopic,17,subuh,0.028455339314728323
BERTopic,17,jadi malam,0.028455339314728323
BERTopic,17,pagi,0.025385267578394027
BERTopic,18,tolong,0.05172727912137297
BERTopic,18,golong,0.046660898938503836
BERTopic,18,masuk,0.03604477675388666
BERTopic,18,golong besar,0.03568559697190125
BERTopic,18,datang,0.033225754285160336
BERTopic,18,tolong tolong,0.028731198811572912
BERTopic,18,masuk golong,0.025816482788130535
BERTopic,18,golong tangguh,0.025239533660582972
BERTopic,18,besar dahulu,0.025239533660582972
BERTopic,18,masuk jahim,0.0237903979812675
BERTopic,19,anak,0.08818935652583582
BERTopic,19,anak anak,0.049054513917436204
BERTopic,19,miskin,0.0434396270372255
BERTopic,19,keluarga,0.04234951976602209
BERTopic,19,yatim,0.03812200727481787
BERTopic,19,anak yatim,0.036079034177556576
BERTopic,19,harta,0.03587833291356617
BERTopic,19,barang,0.03448218124906318
BERTopic,19,kerabat,0.0242740912762253
BERTopic,19,makan,0.02385873815847093
BERTopic,20,hamba,0.2129239711544906
BERTopic,20,hamba hamba,0.1345365353965717
BERTopic,20,hamba pilih,0.02944143223556893
BERTopic,20,rezeki,0.027185019285725656
BERTopic,20,pilih,0.024159387314589723
BERTopic,20,maha,0.021801189226738082
BERTopic,20,hamba mukmin,0.020342788021277106
BERTopic,20,zalim hamba,0.01974010270189629
BERTopic,20,hendak hamba,0.01773883381452315
BERTopic,20,masuk hamba,0.016274230417021685
BERTopic,21,kebun,0.13182252751904883
BERTopic,21,buah,0.11619521121949211
BERTopic,21,pohon,0.07997137391773634
BERTopic,21,buah buah,0.06031782466638724
BERTopic,21,kurma,0.05913454946756531
BERTopic,21,kebun kebun,0.053432300145999194
BERTopic,21,tumbuh,0.04249375261073441
BERTopic,21,pohon kurma,0.037414317768087596
BERTopic,21,taman,0.03511558784024769
BERTopic,21,biji,0.03511558784024769
BERTopic,22,jangan,0.08766635412734979
BERTopic,22,bukankah,0.03015513097241715
BERTopic,22,gesa,0.02921428049454525
BERTopic,22,tidak,0.028194237123167033
BERTopic,22,sekali kali,0.02560661330223274
BERTopic,22,jangan sekali,0.025189038864596447
BERTopic,22,kali,0.024847302116288026
BERTopic,22,sekali,0.023989471834945184
BERTopic,22,teman,0.019459332586407894
BERTopic,22,bukan,0.019351566909273487
BERTopic,23,neraka,0.13725201259131034
BERTopic,23,api neraka,0.04269643974643136
BERTopic,23,huni neraka,0.03499236465643168
BERTopic,23,api,0.03228482860791199
BERTopic,23,huni,0.031568369905599594
BERTopic,23,tempat,0.028892129890398587
BERTopic,23,kekal dalam,0.02719828992251839
BERTopic,23,kekal,0.026362216972017415
BERTopic,23,neraka kekal,0.02417012312940749
BERTopic,23,dalam,0.023397725213351206
BERTopic,24,jalan,0.07613162556592447
BERTopic,24,jauh,0.06337796022998589
BERTopic,24,jalan lurus,0.04392206766869051
BERTopic,24,sesat,0.041250541230500384
BERTopic,24,lurus,0.04055809601237944
BERTopic,24,lubang,0.03475355243843787
BERTopic,24,kiri,0.03106219045413626
BERTopic,24,golong kiri,0.029410555328485896
BERTopic,24,sanggup,0.0260983040061961
BERTopic,24,ejek,0.025231131416961
BERTopic,25,setan,0.1453989232365037
BERTopic,25,setan setan,0.036128049721467825
BERTopic,25,setan jadi,0.017816173606562482
