sura,ayat,dominant_topic,confidence
1,1,2,0.42
1,2,6,0.82
1,3,3,0.525
1,4,6,0.44285712
1,5,0,0.525
1,6,0,0.51666665
2,2,8,0.35
2,3,4,0.23333332
2,4,4,0.3875
2,5,9,0.35
2,6,8,0.31
2,7,5,0.41
2,8,8,0.3875
2,9,9,0.45555556
2,10,9,0.46363637
2,11,9,0.46363637
2,12,9,0.51666665
2,13,9,0.63125
2,14,1,0.3923077
2,15,0,0.44285712
2,16,0,0.55454546
2,17,5,0.3153846
2,18,0,0.62
2,19,9,0.40500003
2,20,5,0.526087
2,21,9,0.5857143
2,22,2,0.3857143
2,23,0,0.3923077
2,24,9,0.42499998
2,25,4,0.35806453
2,26,9,0.355
2,27,9,0.34166667
2,28,2,0.67777777
2,29,2,0.54
2,30,2,0.3736842
2,31,9,0.42499998
2,32,6,0.675
2,33,9,0.45909092
2,34,4,0.34166667
2,35,9,0.41764706
2,36,9,0.355
2,37,6,0.50714284
2,38,4,0.28333333
2,39,3,0.45555556
2,40,4,0.38125
2,41,5,0.31875
2,42,6,0.6375
2,43,7,0.7625
2,44,4,0.42499998
2,45,7,0.41
2,46,9,0.82
2,47,4,0.46363637
2,48,8,0.25833333
2,49,7,0.42083335
2,50,2,0.37272727
2,51,8,0.31
2,52,7,0.36666667
2,53,4,0.5125
2,54,7,0.26296297
2,55,9,0.51
2,56,2,0.525
2,57,4,0.4263158
2,58,9,0.4809524
2,59,9,0.5083333
2,60,2,0.35000002
2,61,9,0.31458333
2,62,9,0.33809525
2,63,8,0.43571427
2,64,9,0.3875
2,65,6,0.34166667
2,66,8,0.5857143
2,67,9,0.3642857
2,68,4,0.25833333
2,69,9,0.34166667
2,70,9,0.31
2,71,5,0.28333333
2,72,7,0.3875
2,73,2,0.28181818
2,74,9,0.38846156
2,75,6,0.25833333
2,76,8,0.34
2,77,4,0.35
2,78,9,0.31
2,79,5,0.70000005
2,80,3,0.23846152
2,81,3,0.46363637
2,82,3,0.51
2,83,7,0.5392857
2,84,8,0.46363637
2,85,9,0.36153847
2,86,0,0.23333332
2,87,4,0.23666666
2,88,8,0.2625
2,89,4,0.47647062
2,90,4,0.255
2,91,9,0.4263158
2,92,6,0.23846152
2,93,5,0.244
2,94,8,0.31
2,95,5,0.28181818
2,96,9,0.3956522
2,97,4,0.31875
2,98,0,0.55454546
2,99,4,0.37272727
2,100,9,0.41
2,101,4,0.29285714
2,102,8,0.19836067
2,103,6,0.31
2,104,9,0.43571427
2,105,9,0.29999998
2,106,7,0.27333334
2,107,2,0.34444442
2,108,0,0.40666667
2,109,4,0.355
2,110,7,0.43571427
2,111,0,0.25833333
2,112,9,0.50625
2,113,1,0.39444444
2,114,9,0.3956522
2,115,2,0.34166667
2,116,2,0.46363637
2,117,2,0.31
2,118,4,0.40666667
2,119,4,0.42499998
2,120,0,0.305
2,121,9,0.43571427
2,122,4,0.37272727
2,123,9,0.3923077
2,124,8,0.25625
2,125,9,0.2652174
2,126,9,0.27307692
2,127,6,0.54615384
2,128,7,0.35217392
2,129,6,0.39444444
2,130,1,0.40666667
2,131,4,0.5125
2,132,7,0.44375
2,133,1,0.33809525
2,134,9,0.45555556
2,135,1,0.3923077
2,136,4,0.29047617
2,137,0,0.3923077
2,138,7,0.35
2,139,1,0.28181818
2,140,1,0.32272726
2,141,9,0.45555556
2,142,0,0.22777778
2,143,9,0.22500001
2,144,5,0.39642859
2,145,8,0.32272726
2,146,4,0.42499998
2,147,5,0.2625
2,148,2,0.24117647
2,149,5,0.3153846
2,150,9,0.3956522
2,151,4,0.45000002
2,152,8,0.44285712
2,153,7,0.34444442
2,154,2,0.29999998
2,155,8,0.27333334
2,156,1,0.8416667
2,157,9,0.5125
2,158,1,0.284
2,159,4,0.57857144
2,160,6,0.50714284
2,161,9,0.41
2,162,3,0.7285714
2,163,6,0.7625
2,164,2,0.5323529
2,165,9,0.36818182
2,166,8,0.31
2,167,5,0.28333333
2,168,9,0.31875
2,169,9,0.51666665
2,170,1,0.39444444
2,171,0,0.34166667
2,172,9,0.28181818
2,173,8,0.55
2,174,3,0.3736842
2,175,3,0.5083333
2,176,4,0.22142856
2,177,7,0.30652174
2,178,8,0.39736843
2,179,2,0.3875
2,180,7,0.4263158
2,181,6,0.46363637
2,182,7,0.46923077
2,183,8,0.61
2,184,8,0.2935484
2,185,8,0.2846154
2,186,9,0.28333333
2,187,8,0.3489796
2,188,7,0.29999998
2,189,8,0.22173913
2,190,8,0.41
2,191,0,0.43333334
2,192,6,0.68333334
2,193,9,0.41
2,194,8,0.40500003
2,195,7,0.37272727
2,196,8,0.25178573
2,197,7,0.46785715
2,198,1,0.19523808
2,199,6,0.61
2,200,9,0.355
2,201,7,0.37272727
2,202,9,0.3875
2,203,8,0.32272726
2,204,9,0.34
2,205,2,0.3153846
2,206,9,0.35882354
2,207,9,0.31
2,208,1,0.29285714
2,209,6,0.5083333
2,210,2,0.40666667
2,211,4,0.56875
2,212,9,0.305
2,213,4,0.3682927
2,214,0,0.24285714
2,215,7,0.4809524
2,216,9,0.44375
2,217,0,0.35952383
2,218,6,0.37272727
2,219,4,0.33703706
2,220,7,0.37
2,221,7,0.34318182
2,222,4,0.19615385
2,223,4,0.29999998
2,224,7,0.40666667
2,225,7,0.5083333
2,226,6,0.3153846
2,227,6,0.5125
2,228,8,0.32580647
2,229,8,0.5139535
2,230,7,0.36400002
2,231,8,0.49111113
2,232,8,0.4625
2,233,7,0.41428572
2,234,8,0.46538463
2,235,6,0.2404762
2,236,8,0.60400003
2,237,7,0.3857143
2,238,7,0.5857143
2,239,9,0.34
2,240,8,0.3
2,241,8,0.73636365
2,242,4,0.44285712
2,243,9,0.33888888
2,244,6,0.5125
2,245,2,0.27333334
2,246,9,0.3025
2,247,2,0.23666666
2,248,9,0.36400002
2,249,8,0.33571428
2,250,2,0.34
2,251,8,0.38846156
2,252,5,0.31
2,253,9,0.35250002
2,254,9,0.40500003
2,255,9,0.28139535
2,256,9,0.23181818
2,257,5,0.36818182
2,258,2,0.37
2,259,5,0.282
2,260,9,0.31842107
2,261,6,0.24285714
2,262,9,0.3642857
2,263,7,0.29285714
2,264,9,0.38529414
2,265,8,0.32500002
2,266,3,0.28857145
2,267,9,0.28928572
2,268,8,0.29285714
2,269,8,0.54
2,270,9,0.41
2,271,9,0.27333334
2,272,0,0.35217392
2,273,0,0.35217392
2,274,9,0.32105264
2,275,8,0.35405406
2,276,1,0.34444442
2,277,9,0.44375
2,278,8,0.5125
2,279,9,0.29285714
2,280,9,0.34166667
2,281,9,0.28181818
2,282,7,0.24862386
2,283,8,0.33666667
2,284,2,0.29583332
2,285,0,0.28928572
2,286,9,0.39736843
3,2,1,0.2625
3,3,4,0.71
3,4,9,0.3153846
3,5,2,0.51666665
3,6,6,0.55454546
3,7,4,0.2394737
3,8,4,0.23846152
3,9,8,0.41
3,10,3,0.3153846
3,11,1,0.23846152
3,12,3,0.51
3,13,9,0.3
3,14,7,0.346875
3,15,3,0.324
3,16,9,0.34166667
3,17,6,0.34444442
3,18,6,0.37272727
3,19,9,0.38125
3,20,9,0.284
3,21,9,0.31875
3,22,1,0.31
3,23,4,0.34166667
3,24,3,0.3923077
3,25,9,0.3153846
3,26,8,0.41111112
3,27,2,0.33888888
3,28,9,0.305
3,29,2,0.25625
