model,topic_id,word,score
CTM,0,hari,0.1243598535656929
CTM,0,lihat,0.08225459605455399
CTM,0,apabila,0.07515545189380646
CTM,0,manusia,0.06707711517810822
CTM,0,dusta,0.05606119707226753
CTM,0,hidup,0.04626927524805069
CTM,0,kiamat,0.026195839047431946
CTM,0,gunung,0.02399265579879284
CTM,0,dari,0.021299878135323524
CTM,0,nikmat,0.01885189861059189
CTM,0,qur,0.01836230233311653
CTM,0,kumpul,0.018117504194378853
CTM,0,siksa,0.017627907916903496
CTM,0,durhaka,0.01664871536195278
CTM,0,senang,0.015914320945739746
CTM,1,antara,0.1007125973701477
CTM,1,sama,0.07599526643753052
CTM,1,laki,0.06521430611610413
CTM,1,perempuan,0.05522219091653824
CTM,1,hati,0.0541703887283802
CTM,1,siapa,0.0533815398812294
CTM,1,niscaya,0.05285564064979553
CTM,1,sendiri,0.03970812261104584
CTM,1,jawab,0.035500917583703995
CTM,1,salah,0.02577175945043564
CTM,1,setan,0.02445700764656067
CTM,1,satu,0.0231422558426857
CTM,1,bijaksana,0.022090455517172813
CTM,1,seru,0.021564554423093796
CTM,1,umat,0.020249802619218826
CTM,2,iman,0.09122239798307419
CTM,2,zalim,0.06703732907772064
CTM,2,tunjuk,0.06493427604436874
CTM,2,jangan,0.060991059988737106
CTM,2,buat,0.059676654636859894
CTM,2,anugerah,0.044955309480428696
CTM,2,kepada,0.040486328303813934
CTM,2,rahmat,0.03391429781913757
CTM,2,musa,0.032074134796857834
CTM,2,sekutu,0.028656678274273872
CTM,2,saleh,0.025502104312181473
CTM,2,banyak,0.023661935701966286
CTM,2,ibrahim,0.018404312431812286
CTM,2,bawa,0.017878549173474312
CTM,2,allah,0.0176156684756279
CTM,3,dia,0.1253572404384613
CTM,3,azab,0.08924683928489685
CTM,3,turun,0.07531854510307312
CTM,3,hamba,0.06061645597219467
CTM,3,kitab,0.049783337861299515
CTM,3,dapat,0.04565643519163132
CTM,3,dalam,0.04462470859289169
CTM,3,besar,0.04333505034446716
CTM,3,beri,0.039208147674798965
CTM,3,sungai,0.026569513604044914
CTM,3,timpa,0.025795718654990196
CTM,3,gembira,0.025021925568580627
CTM,3,bukti,0.023990198969841003
CTM,3,atas,0.021152954548597336
CTM,3,selamat,0.020637091249227524
CTM,4,tuhan,0.16176728904247284
CTM,4,dapat,0.07791795581579208
CTM,4,jelas,0.03921826556324959
CTM,4,negeri,0.03509029746055603
CTM,4,waktu,0.03251032158732414
CTM,4,lindung,0.032252322882413864
CTM,4,minta,0.0294143445789814
CTM,4,anda,0.02915634773671627
CTM,4,sabar,0.022706398740410805
CTM,4,malam,0.022190403193235397
CTM,4,duduk,0.021158412098884583
CTM,4,mana,0.020642414689064026
CTM,4,dosa,0.02012641914188862
CTM,4,baca,0.02012641914188862
CTM,4,jahanam,0.019094428047537804
CTM,5,wahai,0.09379284083843231
CTM,5,rasul,0.07317959517240524
CTM,5,anak,0.0595233179628849
CTM,5,sembah,0.046897705644369125
CTM,5,kufur,0.0432903878390789
CTM,5,buruk,0.04122906178236008
CTM,5,nyata,0.03916773945093155
CTM,5,ampun,0.033756762742996216
CTM,5,karunia,0.024480804800987244
CTM,5,kam,0.02345014177262783
CTM,5,untuk,0.021904148161411285
CTM,5,agama,0.02087348699569702
CTM,5,rumah,0.01984282396733761
CTM,5,mohon,0.01984282396733761
CTM,5,taat,0.01906982809305191
CTM,6,benar,0.3373427093029022
CTM,6,datang,0.10946547240018845
